recorded_at,station,hour,day_of_week,passengers,is_peak,is_weekend,actual_crowd,bucket
2026-01-31T21:59:48.849325,Shahpur,18,0,5,True,False,96,Medium
2026-04-10T21:59:48.849347,Commerce Six Roads,8,0,6,True,False,136,Medium
2025-12-15T21:59:48.849355,Rabari Colony,8,6,2,True,True,201,High
2026-04-19T21:59:48.849360,Vastral,11,2,3,False,False,59,Medium
2026-05-13T21:59:48.849365,Amraiwadi,8,4,6,True,False,236,High
2025-08-17T21:59:48.849369,Usmanpura,18,2,6,True,False,259,High
2026-02-24T21:59:48.849373,AEC,16,6,1,False,True,106,Medium
2025-10-18T21:59:48.849377,CTM Cross Road,14,0,2,False,False,114,Medium
2025-12-13T21:59:48.849380,APMC,12,5,4,False,True,68,Medium
2025-10-21T21:59:48.849383,Thaltej,14,1,2,False,False,104,Medium
2026-05-26T21:59:48.849387,Shreyas,19,4,4,True,False,69,Medium
2026-06-09T21:59:48.849390,GNLU,8,6,1,True,True,249,High
2026-01-21T21:59:48.849394,Thaltej,11,6,6,False,True,35,Low
2026-07-30T21:59:48.849397,Usmanpura,22,2,5,False,False,149,Medium
2026-05-16T21:59:48.849401,Shahpur,14,6,6,False,True,37,Low
2026-03-23T21:59:48.849404,Usmanpura,6,5,6,False,True,122,Medium
2025-09-27T21:59:48.849407,Gujarat University,22,0,6,False,False,117,Medium
2025-11-01T21:59:48.849410,Commerce Six Roads,10,2,2,True,False,136,Medium
2026-02-28T21:59:48.849414,Motera Stadium,16,3,1,False,False,171,High
2026-06-25T21:59:48.849418,Paldi,7,1,5,False,False,218,High
2026-06-01T21:59:48.849421,Gheekanta,21,6,1,False,True,144,Medium
2026-03-22T21:59:48.849426,Vadaj,21,4,2,False,False,113,Medium
2026-01-12T21:59:48.849430,Kankaria,12,4,6,False,False,92,Medium
2026-06-04T21:59:48.849433,Vastral,20,4,4,False,False,37,Low
2025-10-07T21:59:48.849436,Paldi,13,0,3,False,False,237,High
2025-09-15T21:59:48.849439,AEC,6,0,6,False,False,156,High
2026-04-05T21:59:48.849442,Kankaria East,13,0,1,False,False,98,Medium
2026-05-29T21:59:48.849447,Amraiwadi,21,1,5,False,False,133,Medium
2026-06-16T21:59:48.849450,Chandkheda,13,6,4,False,True,127,Medium
2025-12-08T21:59:48.849453,Kankaria,17,3,4,True,False,147,Medium
2026-06-10T21:59:48.849456,Kankaria East,9,0,4,True,False,129,Medium
2025-12-18T21:59:48.849459,Paldi,12,1,5,False,False,146,Medium
2026-06-27T21:59:48.849462,Vadaj,19,1,3,True,False,119,Medium
2025-11-01T21:59:48.849466,Kalupur,9,0,6,True,False,282,High
2026-04-17T21:59:48.849469,Motera Stadium,8,6,2,True,True,174,High
2026-08-03T21:59:48.849472,CTM Cross Road,7,1,4,False,False,137,Medium
2025-10-24T21:59:48.849476,Odhav,14,6,4,False,True,125,Medium
2026-04-15T21:59:48.849479,GNLU,10,1,3,True,False,288,High
2025-11-20T21:59:48.849482,Kankaria East,7,5,3,False,True,101,Medium
2026-05-01T21:59:48.849486,Doordarshan Kendra,7,4,1,False,False,104,Medium
2025-10-17T21:59:48.849490,Kalupur Railway Station,8,5,2,True,True,151,High
2026-01-02T21:59:48.849495,Paldi,7,4,1,False,False,240,High
2026-01-14T21:59:48.849498,APMC,14,1,6,False,False,168,High
2026-06-28T21:59:48.849501,Vadaj,15,3,3,False,False,97,Medium
2026-04-17T21:59:48.849504,Motera Stadium,20,4,5,False,False,161,High
2026-04-01T21:59:48.849507,Shreyas,10,2,1,True,False,136,Medium
2025-09-25T21:59:48.849510,Vastral,15,1,4,False,False,105,Medium
2026-05-28T21:59:48.849513,Motera Stadium,15,5,1,False,True,64,Medium
2025-09-29T21:59:48.849516,Shreyas,9,0,6,True,False,113,Medium
2025-09-14T21:59:48.849519,SSG Hospital,16,1,6,False,False,79,Medium
2026-06-18T21:59:48.849522,Shreyas,22,3,3,False,False,138,Medium
2026-02-15T21:59:48.849525,Kankaria,14,0,1,False,False,77,Medium
2025-10-21T21:59:48.849528,Vadaj,14,1,6,False,False,75,Medium
2026-05-20T21:59:48.849531,Motera Stadium,9,0,6,True,False,241,High
2026-02-28T21:59:48.849535,Ranip,17,4,5,True,False,157,High
2025-08-20T21:59:48.849538,Vastral,7,2,2,False,False,94,Medium
2025-09-21T21:59:48.849541,Paldi,9,2,5,True,False,322,High
2026-05-06T21:59:48.849545,Thaltej,13,6,2,False,True,24,Low
2026-01-06T21:59:48.849548,Jivraj Mehta Hospital,6,1,6,False,False,119,Medium
2026-06-10T21:59:48.849551,Paldi,14,1,6,False,False,176,High
2025-12-12T21:59:48.849555,Odhav,7,6,4,False,True,145,Medium
2026-04-12T21:59:48.849558,Nirant Cross Road,15,6,2,False,True,129,Medium
2026-03-15T21:59:48.849561,Sabarmati,12,3,3,False,False,93,Medium
2025-11-03T21:59:48.849564,Nirant Cross Road,22,3,6,False,False,118,Medium
2026-03-22T21:59:48.849567,Vastral Gam,6,0,3,False,False,191,High
2026-02-09T21:59:48.849570,Ranip,9,4,4,True,False,217,High
2026-04-29T21:59:48.849573,APMC,19,4,5,True,False,307,High
2026-08-04T21:59:48.849576,Shreyas,7,5,4,False,True,106,Medium
2025-09-19T21:59:48.849580,Commerce Six Roads,17,3,1,True,False,159,High
2025-11-18T21:59:48.849583,APMC,9,5,3,True,True,160,High
2026-04-28T21:59:48.849586,Apparel Park,19,2,4,True,False,78,Medium
2026-05-07T21:59:48.849589,Jivraj Mehta Hospital,18,5,6,True,True,40,Low
2025-10-12T21:59:48.849592,Apparel Park,18,4,1,True,False,84,Medium
2025-08-24T21:59:48.849595,APMC,20,3,4,False,False,192,High
2025-11-14T21:59:48.849599,SSG Hospital,22,3,6,False,False,93,Medium
2025-08-25T21:59:48.849602,Vastral Gam,8,6,2,True,True,176,High
2025-12-04T21:59:48.849605,Apparel Park,13,6,2,False,True,48,Low
